match_id,home_name,away_name,league,match_date,home_goals,away_goals,total_goals,goal_diff,ah_line,fav_side,line_mag,ticks,zone,ou_line,ah_outcome,ah_payout,ah_fav_covered,ou_outcome,ou_payout,ah_open,ah_close,ah_delta,delta_ticks,h2h_stadium_cover,h2h_general_cover,prev_home_shots_diff,prev_home_sot_diff,prev_home_danger_diff,prev_home_attacks_diff,prev_home_wdl,prev_away_shots_diff,prev_away_sot_diff,prev_away_danger_diff,prev_away_attacks_diff,prev_away_wdl,ind_local_localia,ind_local_ah,ind_local_danger_diff,ind_visitante_localia,ind_visitante_ah,ind_visitante_danger_diff,home_rank,away_rank,rank_diff,prev_home_danger_diff_bin,prev_away_danger_diff_bin,ind_local_danger_diff_bin,ind_visitante_danger_diff_bin,ticks_bin,delta_bin
2671731,Ethio Electric FC,Wolaita Dicha,Ethiopia Premier League,9/22/2024,2,3,5,-1,-0.25,AWAY,0.25,1,PICK_EM,1.5,L,-1.0,-1,OVER_W,1.0,-0.25,-0.25,0.0,0,NO_COVER,NO_COVER,10,4,62,11,D,-4,-2,-16,-4,L,H,0.0,-5,,,0,99,99,0,muy_pos,neg,neutro,neutro,low,drop
2670429,Welwalo Adigrat,Bahir Dar Kenema FC,Ethiopia Premier League,9/21/2024,0,1,1,-1,-0.25,AWAY,0.25,1,PICK_EM,2.0,L,-1.0,-1,UNDER_W,1.0,0.25,-0.25,-0.5,-2,COVER,COVER,5,2,10,8,D,4,4,14,10,D,H,0.75,30,H,1.5,27,99,99,0,pos,pos,muy_pos,muy_pos,low,strong_drop
2671732,Kedus Giorgis,Fasil Kenema,Ethiopia Premier League,9/22/2024,1,2,3,-1,0.25,HOME,0.25,1,PICK_EM,1.75,L,-1.0,-1,OVER_W,1.0,0.75,0.25,-0.5,-2,COVER,COVER,-2,1,-13,25,D,-6,0,-18,-19,L,A,0.0,-6,A,0.0,15,99,99,0,neg,neg,neg,pos,low,strong_drop
2671634,Sidama Bunna,Hawassa City FC,Ethiopia Premier League,9/23/2024,0,1,1,-1,0.25,HOME,0.25,1,PICK_EM,2.25,L,-1.0,-1,UNDER_W,1.0,0.0,0.25,0.25,1,NO_COVER,NO_COVER,4,0,53,4,L,1,2,9,-8,W,H,0.0,53,A,1.25,9,99,99,0,muy_pos,pos,muy_pos,pos,low,rise
2672413,Fasil Kenema,Mekelle 70 Enderta FC,Ethiopia Premier League,9/26/2024,1,1,2,0,0.5,HOME,0.5,2,MUST_WIN,2.0,W,1.0,1,PUSH,0.0,0.5,0.5,0.0,0,,,0,0,0,0,L,0,0,0,0,L,,,0,,,0,99,99,0,neutro,neutro,neutro,neutro,low,drop
2672327,Ethiopian Insurance FC,Arba Minch,Ethiopia Premier League,9/25/2024,0,0,0,0,0.0,HOME,0.0,0,PICK_EM,2.25,P,0.0,0,UNDER_W,1.0,0.25,0.0,-0.25,-1,COVER,COVER,13,6,73,72,W,2,-2,-8,-9,D,A,0.25,-39,,,0,99,99,0,muy_pos,neg,muy_neg,neutro,low,drop
2672373,Ethiopia Bunna,Ethio Electric FC,Ethiopia Premier League,9/26/2024,0,0,0,0,1.0,HOME,1.0,4,WIN_BY_1,2.5,W,1.0,1,UNDER_W,1.0,0.5,1.0,0.5,2,COVER,COVER,5,2,43,28,D,3,-1,29,16,D,,,0,,,0,99,99,0,muy_pos,muy_pos,neutro,neutro,mid,rise
2672805,Bahir Dar Kenema FC,Adama City,Ethiopia Premier League,9/27/2024,0,1,1,-1,0.5,HOME,0.5,2,MUST_WIN,2.0,L,-1.0,-1,UNDER_W,1.0,0.25,0.5,0.25,1,NO_COVER,NO_COVER,9,1,4,-2,W,6,6,-47,-39,W,A,,-14,A,0.0,1,99,99,0,neutro,muy_neg,neg,neutro,low,rise
2672806,Hawassa City FC,Shire Endaselassie FC,Ethiopia Premier League,9/27/2024,1,1,2,0,0.25,HOME,0.25,1,PICK_EM,2.0,HW,0.5,1,PUSH,0.0,1.0,0.25,-0.75,-3,COVER,COVER,-4,-4,-14,-10,D,-4,0,-3,-20,W,H,0.0,47,,,0,99,99,0,neg,neutro,muy_pos,neutro,low,strong_drop
2672804,Kedus Giorgis,Welwalo Adigrat,Ethiopia Premier League,9/27/2024,2,1,3,1,0.5,HOME,0.5,2,MUST_WIN,2.0,W,1.0,1,OVER_W,1.0,0.5,0.5,0.0,0,,,-4,-4,2,1,L,-8,-4,-27,-19,L,A,-0.25,-59,A,1.25,-6,99,99,0,neutro,muy_neg,muy_neg,neg,low,drop
