main_match_id,source_key,date,home_team,away_team,home_goals,away_goals,ah,cover_status,home_tiros,away_tiros,home_tiros_a_puerta,away_tiros_a_puerta,home_ataques,away_ataques,home_ataques_peligrosos,away_ataques_peligrosos,home_red_cards,away_red_cards
2701936,last_home,18-10-2025,Tokyo Verdy,Albirex Niigata,1.0,0.0,0.25,CUBIERTO,7.0,16.0,4.0,2.0,94.0,130.0,33.0,69.0,,
2701936,last_away,18-10-2025,Machida Zelvia,Avispa Fukuoka,0.0,0.0,0.75,PUSH,9.0,7.0,3.0,0.0,116.0,89.0,42.0,47.0,,
2701936,h2h_col3,,Albirex Niigata,Machida Zelvia,0.0,4.0,-,CUBIERTO,20.0,24.0,1.0,8.0,88.0,88.0,52.0,60.0,,
2701936,h2h_general,,Avispa Fukuoka,Tokyo Verdy,0.0,0.0,0.25,PUSH,10.0,14.0,4.0,0.0,118.0,94.0,29.0,53.0,,
2702677,last_home,27-09-2025,Zweigen Kanazawa FC,Kamatamare Sanuki,2.0,1.0,0.5,CUBIERTO,11.0,9.0,4.0,5.0,63.0,44.0,66.0,42.0,,
2702677,last_away,05-10-2025,Kochi United,Azul Claro Numazu,0.0,1.0,0.25,indeterminado,7.0,6.0,5.0,5.0,82.0,66.0,62.0,32.0,,
2702677,h2h_col3,,Kamatamare Sanuki,Kochi United,1.0,2.0,-,indeterminado,10.0,13.0,3.0,5.0,78.0,92.0,45.0,44.0,1.0,0.0
2702677,h2h_general,,Azul Claro Numazu,Zweigen Kanazawa FC,3.0,1.0,0,NO CUBIERTO,9.0,9.0,6.0,2.0,38.0,41.0,27.0,42.0,,
2702678,last_home,05-10-2025,Kochi United,Azul Claro Numazu,0.0,1.0,0.25,NO CUBIERTO,7.0,6.0,5.0,5.0,82.0,66.0,62.0,32.0,,
2702678,last_away,27-09-2025,Azul Claro Numazu,FC Gifu,1.0,2.0,-0.5,CUBIERTO,13.0,6.0,9.0,2.0,106.0,93.0,68.0,76.0,,
2702678,h2h_general,,FC Gifu,Kochi United,1.0,1.0,0.25,PUSH,8.0,9.0,3.0,2.0,116.0,79.0,60.0,57.0,,
2713652,last_home,,New Mexico United,Lexington,2.0,1.0,-,NEUTRO,4.0,8.0,2.0,3.0,88.0,72.0,66.0,50.0,0.0,1.0
2713652,last_away,,Sacramento Republic FC,Orange County Blues FC,2.0,1.0,-,NEUTRO,14.0,13.0,7.0,2.0,81.0,125.0,39.0,45.0,,
